full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Karl Marx;Male;1818;Trier;Germany;Europe;Economist;Social Sciences;Science & Technology;148;46599942;314864;298.429
Marco Polo;Male;1254;Republic of Venice;Italy;Europe;Explorer;Explorers;Exploration;127;17773989;139953;297.719
Cicero;Male;-106;Arpino;Italy;Europe;Politician;Government;Institutions;83;13649824;164456;297.426
Sophocles;Male;-496;Athens;Greece;Europe;Writer;Language;Humanities;100;8948030;89480;297.421
Vincent van Gogh;Male;1853;Zundert;Netherlands;Europe;Painter;Fine Arts;Arts;155;45449125;293220;297.384
Genghis Khan;Male;1162;Delüün Boldog;Mongolia;Asia;Military Personnel;Military;Institutions;121;27565467;227814;297.353
Zoroaster;Male;-600;Airyanem Vaejah;Afghanistan;Asia;Writer;Language;Humanities;86;7010219;81514;297.245
Hannibal Barca;Male;-248;Carthage;Tunisia;Africa;Politician;Government;Institutions;86;18246118;212164;296.911
Immanuel Kant;Male;1724;Kaliningrad;Russia;Europe;Philosopher;Philosophy;Humanities;125;28745025;229960;296.882
Hippocrates;Male;-460;Kos;Greece;Europe;Physician;Medicine;Science & Technology;93;10097815;108579;296.361
Sigmund Freud;Male;1856;Příbor;Czech Republic;Europe;Psychologist;Social Sciences;Science & Technology;134;43475930;324447;296.293
Pablo Picasso;Male;1881;Málaga;Spain;Europe;Painter;Fine Arts;Arts;143;56598798;395796;295.957
Nefertiti;Female;-1370;Thebes;Egypt;Africa;Companion;Companions;Public Figure;74;9660479;130547;295.711
Solomon;Male;-1000;Jerusalem;Israel;Asia;Religious Figure;Religion;Institutions;79;13359813;169112;295.649
Jeanne d'Arc;Female;1412;Domrémy-la-Pucelle;France;Europe;Military Personnel;Military;Institutions;104;27928806;268546;295.566
Qin Shi Huang;Male;-259;Handan;China;Asia;Politician;Government;Institutions;144;9197875;63874;295.192
Aesop;Male;-620;Other;Unknown;;Writer;Language;Humanities;69;7898719;114474;294.989
Epicurus;Male;-341;Samos Island;Greece;Europe;Philosopher;Philosophy;Humanities;68;8895085;130810;294.762
Caligula;Male;12;Anzio;Italy;Europe;Politician;Government;Institutions;76;17137539;225494;294.536
René Descartes;Male;1596;Descartes;France;Europe;Philosopher;Philosophy;Humanities;120;26370301;219753;294.481
Thomas Aquinas;Male;1225;Roccasecca;Italy;Europe;Philosopher;Philosophy;Humanities;103;17427900;169203;294.352
Tutankhamun;Male;-1341;Ancient Egypt;Egypt;Africa;Politician;Government;Institutions;75;17640463;235206;293.953
Mary;Female;-18;Nazareth;Israel;Asia;Religious Figure;Religion;Institutions;100;4043545;40435;293.919
Johann Wolfgang von Goethe;Male;1749;Frankfurt;Germany;Europe;Writer;Language;Humanities;132;20958901;158780;293.385
Marcus Aurelius;Male;121;Rome;Italy;Europe;Politician;Government;Institutions;73;11839877;162190;293.305
Voltaire;Male;1694;Paris;France;Europe;Writer;Language;Humanities;112;27632624;246720;292.732
Ovid;Male;-43;Sulmona;Italy;Europe;Writer;Language;Humanities;88;7030681;79894;292.723
Niccolò Machiavelli;Male;1469;Florence;Italy;Europe;Philosopher;Philosophy;Humanities;106;22390820;211234;292.668
Blaise Pascal;Male;1623;Clermont-Ferrand;France;Europe;Mathematician;Math;Science & Technology;103;17297105;167933;292.544
Attila the Hun;Male;406;Hajdúböszörmény;Hungary;Europe;Politician;Government;Institutions;83;11123103;134013;292.433
David;Male;-1040;Bethlehem;Palestine;Asia;Politician;Government;Institutions;72;14023246;194767;292.419
Raphael;Male;1483;Urbino;Italy;Europe;Painter;Fine Arts;Arts;112;16525336;147548;292.108
Charles Darwin;Male;1809;Shrewsbury;United Kingdom;Europe;Biologist;Natural Sciences;Science & Technology;148;49582198;335015;291.979
Che Guevara;Male;1928;Rosario;Argentina;South America;Social Activist;Activism;Public Figure;129;54896869;425557;291.644
Jean-Jacques Rousseau;Male;1712;Geneva;Switzerland;Europe;Philosopher;Philosophy;Humanities;106;26399173;249049;291.628
Laozi;Male;-400;Henan;China;Asia;Philosopher;Philosophy;Humanities;105;6743614;64225;291.483
Mahatma Gandhi;Male;1869;Porbandar;India;Asia;Social Activist;Activism;Public Figure;138;44366012;321493;291.406
Saladin;Male;1138;Tikrit;Iraq;Asia;Politician;Government;Institutions;104;14119978;135769;291.401
Saint Peter;Male;0;Bethsaida;Syria;Asia;Religious Figure;Religion;Institutions;98;14650751;149497;291.364
Sappho;Female;-625;Lesbos Island;Greece;Europe;Writer;Language;Humanities;82;5492117;66977;291.232
Aeschylus;Male;-525;Eleusina;Greece;Europe;Writer;Language;Humanities;74;6231138;84205;290.996
Ptolemy;Male;90;Egypt;Egypt;Africa;Astronomer;Natural Sciences;Science & Technology;87;9459640;108731;290.892
John the Baptist;Male;-5;Jerusalem;Israel;Asia;Religious Figure;Religion;Institutions;78;10702126;137207;290.865
Trajan;Male;53;Italica;Spain;Europe;Politician;Government;Institutions;72;6299821;87498;290.781
Mary Magdalene;Female;1;Magdala;Israel;Asia;Religious Figure;Religion;Institutions;65;13657412;210114;290.759
Heraclitus;Male;-535;Ephesus;Turkey;Asia;Philosopher;Philosophy;Humanities;72;7690246;106809;290.696
Gilgamesh;Male;-3500;Other;Iraq;Asia;Politician;Government;Institutions;54;9602219;177819;290.492
Vasco da Gama;Male;1469;Sines;Portugal;Europe;Explorer;Explorers;Exploration;119;12831158;107825;290.264
Adam Smith;Male;1723;Kirkcaldy;United Kingdom;Europe;Economist;Social Sciences;Science & Technology;111;20395667;183745;290.105
Elizabeth I of England;Female;1533;London;United Kingdom;Europe;Politician;Government;Institutions;106;39290364;370664;290.005
Horace;Male;-65;Venusia;Italy;Europe;Writer;Language;Humanities;76;5211790;68576;29
Louis XIV of France;Male;1638;Paris;France;Europe;Politician;Government;Institutions;89;25431554;285748;289.814
Anne Boleyn;Female;1501;Norfolk or Kent;United Kingdom;Europe;Companion;Companions;Public Figure;62;25342861;408756;289.534
Ferdinand Magellan;Male;1480;Sabrosa;Portugal;Europe;Explorer;Explorers;Exploration;120;14936167;124468;289.393
Joseph Stalin;Male;1878;Gori;Georgia;Asia;Politician;Government;Institutions;134;42908561;320213;289.317
Ramesses II;Male;-1303;Other;Egypt;Africa;Politician;Government;Institutions;59;10524828;178387;289.233
Vladimir Lenin;Male;1870;Ulyanovsk;Russia;Europe;Politician;Government;Institutions;137;27160642;198253;289.211
Leonidas I;Male;-540;Sparta;Greece;Europe;Politician;Government;Institutions;57;11025629;193432;289.027
Avicenna;Male;980;Bukhara;Uzbekistan;Asia;Philosopher;Philosophy;Humanities;102;10026549;98300;288.917
Akhenaten;Male;-1380;Other;Egypt;Africa;Politician;Government;Institutions;62;7197331;116086;28.856
Johannes Gutenberg;Male;1398;Mainz;Germany;Europe;Inventor;Invention;Science & Technology;108;11713571;108459;288.535
Euripides;Male;-480;Salamis Island;Greece;Europe;Writer;Language;Humanities;65;5941148;91402;288.391
Seneca the Younger;Male;-4;Córdoba;Spain;Europe;Philosopher;Philosophy;Humanities;62;8549935;137902;288.207
Albrecht Dürer;Male;1471;Nuremberg;Germany;Europe;Painter;Fine Arts;Arts;112;10212700;91185;288.184
Pericles;Male;-495;Athens;Greece;Europe;Politician;Government;Institutions;63;7934375;125942;288.129
Sun Tzu;Male;-544;Qi;China;Asia;Philosopher;Philosophy;Humanities;81;6622800;81763;287.957
Hadrian;Male;76;Italica;Spain;Europe;Politician;Government;Institutions;64;6885963;107593;287.796
Judas Iscariot;Male;-1;Other;Unknown;;Religious Figure;Religion;Institutions;63;11142102;176859;287.693
Mark Antony;Male;-83;Rome;Italy;Europe;Politician;Government;Institutions;61;9040703;148208;287.531
Hammurabi;Male;-1796;Babylon;Iraq;Asia;Politician;Government;Institutions;82;5376002;65561;287.455
John Locke;Male;1632;Wrington;United Kingdom;Europe;Philosopher;Philosophy;Humanities;99;23061256;232942;287.425
Democritus;Male;-460;Abdera;Greece;Europe;Philosopher;Philosophy;Humanities;72;9288258;129004;287.332
Aristophanes;Male;-446;Athens;Greece;Europe;Writer;Language;Humanities;68;4704294;69181;287.213
Martin Luther King Jr.;Male;1929;Atlanta;United States;North America;Social Activist;Activism;Public Figure;116;28854653;248747;286.877
Plutarch;Male;45;Chaeronea;Greece;Europe;Philosopher;Philosophy;Humanities;72;5399390;74992;286.819
Friedrich Nietzsche;Male;1844;Röcken;Germany;Europe;Philosopher;Philosophy;Humanities;117;39344570;336278;286.677
Victor Hugo;Male;1802;Besançon;France;Europe;Writer;Language;Humanities;123;25659755;208616;286.599
Imhotep;Male;-2650;Memphis;Egypt;Africa;Architect;Design;Arts;56;4231465;75562;286.228
Elvis Presley;Male;1935;Tupelo;United States;North America;Singer;Music;Arts;118;55896331;473698;286.172
Salvador Dalí;Male;1904;Figueres;Spain;Europe;Painter;Fine Arts;Arts;122;37482606;307234;28.593
Richard Wagner;Male;1813;Leipzig;Germany;Europe;Composer;Music;Arts;116;17596072;151690;285.694
Constantine I;Male;272;Niš;Serbia;Europe;Politician;Government;Institutions;96;8393354;87431;285.648
Molière;Male;1622;Paris;France;Europe;Writer;Language;Humanities;106;17239276;162635;285.634
Benito Mussolini;Male;1883;Predappio;Italy;Europe;Politician;Government;Institutions;105;30179131;287420;285.507
Hesiod;Male;-800;Other;Greece;Europe;Writer;Language;Humanities;61;3804261;62365;285.445
Xerxes I of Persia;Male;-519;Other;Iran;Asia;Politician;Government;Institutions;57;8762549;153729;285.358
Tiberius;Male;-42;Rome;Italy;Europe;Politician;Government;Institutions;75;7080121;94402;285.326
Oscar Wilde;Male;1854;Dublin;Ireland;Europe;Writer;Language;Humanities;100;27541340;275413;285.287
Francisco Goya;Male;1746;Fuendetodos;Spain;Europe;Painter;Fine Arts;Arts;116;13608720;117317;285.249
Peter Paul Rubens;Male;1577;Siegen;Germany;Europe;Painter;Fine Arts;Arts;99;8171725;82543;285.205
Claude Monet;Male;1840;Paris;France;Europe;Painter;Fine Arts;Arts;92;23208960;252271;285.044
Diogenes of Sinope;Male;-412;Sinop;Turkey;Asia;Philosopher;Philosophy;Humanities;62;5869970;94677;284.978
Diocletian;Male;244;Solin;Croatia;Europe;Politician;Government;Institutions;70;5522343;78891;284.917
Eratosthenes;Male;-276;Cyrene;Libya;Africa;Geographer;Social Sciences;Science & Technology;70;5976911;85384;284.856
Frédéric Chopin;Male;1810;Żelazowa Wola;Poland;Europe;Composer;Music;Arts;109;22680875;208081;284.658
Henry VIII of England;Male;1491;Greenwhich;United Kingdom;Europe;Nobleman;Government;Institutions;77;48601509;631188;284.656
Mao Zedong;Male;1893;Shaoshan;China;Asia;Politician;Government;Institutions;122;29051982;238131;284.606
Marie Antoinette;Female;1755;Vienna;Austria;Europe;Nobleman;Government;Institutions;65;32610600;501702;284.474
Carl Friedrich Gauss;Male;1777;Braunschweig;Germany;Europe;Mathematician;Math;Science & Technology;108;10019549;92774;284.442
Giuseppe Verdi;Male;1813;Le Roncole;Italy;Europe;Composer;Music;Arts;107;11937617;111567;28.398
Otto von Bismarck;Male;1815;Schönhausen;Germany;Europe;Politician;Government;Institutions;108;15484912;143379;28.386
Caravaggio;Male;1571;Milan;Italy;Europe;Painter;Fine Arts;Arts;71;13560021;190986;283.579
Isaac;Male;-3500;Canaan;Israel;Asia;Religious Figure;Religion;Institutions;62;4778973;77080;283.556
Justinian I;Male;483;Tauresium;Republic Of Macedonia;Europe;Politician;Government;Institutions;72;5998344;83310;283.512
Marilyn Monroe;Female;1926;Los Angeles;United States;North America;Actor;Film And Theatre;Arts;143;63671491;445255;283.466
Georg Wilhelm Friedrich Hegel;Male;1770;Stuttgart;Germany;Europe;Philosopher;Philosophy;Humanities;95;10627502;111868;283.382
Sandro Botticelli;Male;1445;Florence;Italy;Europe;Painter;Fine Arts;Arts;70;9514874;135927;283.374
Giordano Bruno;Male;1548;Nola;Italy;Europe;Astronomer;Natural Sciences;Science & Technology;83;7818939;94204;283.298
Cyrus the Great;Male;-576;Anshan;Iran;Asia;Politician;Government;Institutions;89;6836963;76820;283.238
Louis Pasteur;Male;1822;Dole;France;Europe;Chemist;Natural Sciences;Science & Technology;116;17803458;153478;283.177
Commodus;Male;161;Lanuvium;Italy;Europe;Politician;Government;Institutions;57;5964371;104638;283.054
Spartacus;Male;-109;Thrace;Bulgaria;Europe;Military Personnel;Military;Institutions;64;29683994;463812;282.996
George Frideric Handel;Male;1685;Halle;Germany;Europe;Composer;Music;Arts;93;10717383;115241;282.857
Carl Linnaeus;Male;1707;Råshult;Sweden;Europe;Biologist;Natural Sciences;Science & Technology;123;9210590;74883;282.851
Nostradamus;Male;1503;Saint-Rémy-de-Provence;France;Europe;Writer;Language;Humanities;74;22719309;307018;282.818
Darius I of Persia;Male;-549;Other;Iran;Asia;Politician;Government;Institutions;67;3654557;54546;282.766
Xenophon;Male;-431;Athens;Greece;Europe;Historian;History;Humanities;57;3450862;60541;282.743
Petrarch;Male;1304;Arezzo;Italy;Europe;Writer;Language;Humanities;77;7824106;101612;282.658
Giovanni Boccaccio;Male;1313;Certaldo;Italy;Europe;Writer;Language;Humanities;77;5589596;72592;282.525
Fyodor Dostoyevsky;Male;1821;Moscow;Russia;Europe;Writer;Language;Humanities;113;13376431;118375;282.486
Theodosius I;Male;347;Coca;Spain;Europe;Politician;Government;Institutions;65;3904324;60067;282.484
Elijah;Male;-3500;Tishbe;Jordan;Asia;Religious Figure;Religion;Institutions;55;5685950;103381;282.463
Solon;Male;-638;Athens;Greece;Europe;Politician;Government;Institutions;54;4115537;76214;282.375
Strabo;Male;-64;Amasya;Turkey;Asia;Geographer;Social Sciences;Science & Technology;67;2234878;33356;282.178
Max Weber;Male;1864;Erfurt;Germany;Europe;Sociologist;Social Sciences;Science & Technology;89;17464357;196229;282.169
Leo Tolstoy;Male;1828;Yasnaya Polyana;Russia;Europe;Writer;Language;Humanities;123;16181442;131556;282.126
Thomas Hobbes;Male;1588;Malmesbury;United Kingdom;Europe;Philosopher;Philosophy;Humanities;79;13453210;170294;282.082
Khufu;Male;-2600;Other;Unknown;;Politician;Government;Institutions;52;3397134;65330;282.012
Thucydides;Male;-460;Alimos;Greece;Europe;Historian;History;Humanities;71;4063157;57228;28.199
Gottfried Wilhelm von Leibniz;Male;1646;Leipzig;Germany;Europe;Mathematician;Math;Science & Technology;106;7295094;68822;281.935
Tacitus;Male;56;Gaul;France;Europe;Historian;History;Humanities;67;4359911;65073;281.906
John Calvin;Male;1509;Noyon;France;Europe;Religious Figure;Religion;Institutions;79;9406706;119072;28.177
Walt Disney;Male;1901;Chicago;United States;North America;Producer;Business;Business & Law;113;33332870;294981;281.723
Thomas More;Male;1478;London;United Kingdom;Europe;Philosopher;Philosophy;Humanities;69;11761778;170461;281.615
Le Corbusier;Male;1887;La Chaux-de-Fonds;Switzerland;Europe;Architect;Design;Arts;107;13401962;125252;281.602
Vespasian;Male;9;Falacrinae;Italy;Europe;Politician;Government;Institutions;69;4020556;58269;281.584
Jean-Paul Sartre;Male;1905;Paris;France;Europe;Writer;Language;Humanities;106;19009595;179336;281.531
Johannes Kepler;Male;1571;Weil der Stadt;Germany;Europe;Astronomer;Natural Sciences;Science & Technology;105;12480204;118859;281.457
Aleksandr Pushkin;Male;1799;Moscow;Russia;Europe;Writer;Language;Humanities;116;6788172;58519;281.305
Anaximander;Male;-610;Miletus;Turkey;Asia;Philosopher;Philosophy;Humanities;70;4275744;61082;281.212
Desiderius Erasmus;Male;1466;Rotterdam;Netherlands;Europe;Philosopher;Philosophy;Humanities;69;8517572;123443;281.211
Suleiman the Magnificent;Male;1494;Trabzon;Turkey;Asia;Politician;Government;Institutions;87;20448629;235042;281.209
Winston Churchill;Male;1874;Blenheim Palace;United Kingdom;Europe;Politician;Government;Institutions;114;32842779;288095;281.069
Nebuchadrezzar II;Male;-634;Other;Iraq;Asia;Politician;Government;Institutions;57;5540287;97198;280.941
Parmenides;Male;-510;Velia;Italy;Europe;Philosopher;Philosophy;Humanities;58;4554554;78527;280.922
Johannes Vermeer;Male;1632;Delft;Netherlands;Europe;Painter;Fine Arts;Arts;74;9648252;130382;280.899
Ali;Male;598;Kaaba;Saudi Arabia;Asia;Religious Figure;Religion;Institutions;84;9632569;114673;280.897
James Cook;Male;1728;Marton;United Kingdom;Europe;Explorer;Explorers;Exploration;115;11738304;102072;280.893
Benjamin Franklin;Male;1706;Boston;United States;North America;Politician;Government;Institutions;88;29472054;334910;280.867
Edgar Allan Poe;Male;1809;Boston;United States;North America;Writer;Language;Humanities;99;33748011;340889;280.844
Joseph Haydn;Male;1732;Rohrau;Austria;Europe;Composer;Music;Arts;83;11122433;134005;280.808
Honoré de Balzac;Male;1799;Tours;France;Europe;Writer;Language;Humanities;82;9787362;119358;280.715
Li Bai;Male;701;Suyab;China;Asia;Writer;Language;Humanities;102;2893988;28372;280.664
Giotto di Bondone;Male;1267;Florence;Italy;Europe;Artist;Fine Arts;Arts;68;5544452;81536;280.579
George Washington;Male;1732;Westmoreland County;United States;North America;Politician;Government;Institutions;134;34838477;259989;28.046
Donatello;Male;1386;Florence;Italy;Europe;Painter;Fine Arts;Arts;79;6995725;88553;280.258
Thomas Edison;Male;1847;Milan;United States;North America;Inventor;Invention;Science & Technology;126;38631687;306601;280.222
Galen;Male;130;Pergamon;Turkey;Asia;Physician;Medicine;Science & Technology;73;4392712;60174;28.019
Titian;Male;1485;Pieve di Cadore;Italy;Europe;Painter;Fine Arts;Arts;67;7560886;112849;280.174
Baruch Spinoza;Male;1632;Amsterdam;Netherlands;Europe;Philosopher;Philosophy;Humanities;84;8686774;103414;280.143
Francis of Assisi;Male;1182;Assisi;Italy;Europe;Philosopher;Philosophy;Humanities;77;18323088;237962;279.971
James Watt;Male;1736;Greenock;United Kingdom;Europe;Inventor;Invention;Science & Technology;102;8142107;79825;279.914
Timur;Male;1336;Transoxiana;Uzbekistan;Asia;Military Personnel;Military;Institutions;94;7532855;80137;279.771
Claudius;Male;-10;Lyon;France;Europe;Politician;Government;Institutions;71;5783578;81459;279.662
Sima Qian;Male;-139;Hancheng;China;Asia;Historian;History;Humanities;82;1695804;20681;279.578
Anton Chekhov;Male;1860;Taganrog;Russia;Europe;Writer;Language;Humanities;110;9327460;84795;279.551
Protagoras;Male;-490;Abdera;Greece;Europe;Philosopher;Philosophy;Humanities;49;3011833;61466;279.427
Hernán Cortés;Male;1485;Medellín;Spain;Europe;Explorer;Explorers;Exploration;106;12277143;115822;279.426
Nicolaus Copernicus;Male;1473;Toruń;Poland;Europe;Astronomer;Natural Sciences;Science & Technology;128;32512598;254005;279.412
Abraham Lincoln;Male;1809;Hodgenville;United States;North America;Politician;Government;Institutions;131;66145211;504925;279.386
Michael Faraday;Male;1791;Newington Butts;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;110;10305685;93688;279.266
Jimi Hendrix;Male;1942;Seattle;United States;North America;Musician;Music;Arts;83;39460548;475428;279.258
Andy Warhol;Male;1928;Pittsburgh;United States;North America;Artist;Fine Arts;Arts;100;34354584;343546;279.198
Methuselah;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;39;5031601;129015;279.189
Du Fu;Male;712;Luoyang;China;Asia;Writer;Language;Humanities;97;1664206;17157;279.061
Antonio Vivaldi;Male;1678;Venice;Italy;Europe;Composer;Music;Arts;103;15870117;154079;278.898
Phidias;Male;-490;Other;Unknown;Unknown;Sculptor;Fine Arts;Arts;47;2664469;56691;278.852
Zeno of Elea;Male;-490;Velia;Italy;Europe;Philosopher;Philosophy;Humanities;55;2607967;47418;278.847
Empedocles;Male;-490;Agrigento;Italy;Europe;Philosopher;Philosophy;Humanities;60;3615283;60255;278.743
Mother Teresa;Female;1910;Skopje;Republic Of Macedonia;Europe;Social Activist;Activism;Public Figure;101;30145431;298470;278.634
El Greco;Male;1541;Crete;Greece;Europe;Painter;Fine Arts;Arts;71;7840580;110431;27.863
Paracelsus;Male;1493;Einsiedeln;Switzerland;Europe;Physician;Medicine;Science & Technology;61;5367602;87993;278.602
Bob Marley;Male;1945;Nine Mile;Jamaica;North America;Musician;Music;Arts;91;60597640;665908;278.593
Anaxagoras;Male;-500;Clazomenae;Turkey;Asia;Philosopher;Philosophy;Humanities;62;2528167;40777;278.564
Clovis I;Male;466;Tournai;Belgium;Europe;Politician;Government;Institutions;61;5010769;82144;27.854
Miguel de Cervantes;Male;1547;Alcalá de Henares;Spain;Europe;Writer;Language;Humanities;128;14409252;112572;278.516
Philip II of Macedon;Male;-382;Pella;Greece;Europe;Politician;Government;Institutions;57;3619870;63506;278.487
Charles V, Holy Roman Emperor;Male;1500;Ghent;Belgium;Europe;Politician;Government;Institutions;78;7454646;95572;278.476
Marcel Proust;Male;1871;Auteuil-Neuilly-Passy;France;Europe;Writer;Language;Humanities;94;8846261;94109;278.449
Plotinus;Male;204;Lycopolis;Egypt;Africa;Philosopher;Philosophy;Humanities;53;2452095;46266;278.309
Averroes;Male;1126;Córdoba;Spain;Europe;Philosopher;Philosophy;Humanities;77;4246475;55149;278.309
Leonardo Fibonacci;Male;1170;Pisa;Italy;Europe;Mathematician;Math;Science & Technology;82;5180458;63176;278.288
Hieronymus Bosch;Male;1450;s-Hertogenbosch;Netherlands;Europe;Painter;Fine Arts;Arts;57;7338723;128750;278.232
David Hume;Male;1711;Edinburgh;United Kingdom;Europe;Philosopher;Philosophy;Humanities;81;11286165;139335;278.185
Bruce Lee;Male;1940;San Francisco-Bay Area;United States;North America;Actor;Film And Theatre;Arts;84;56281877;670022;278.142
Pompey;Male;-106;Roman Republic;Italy;Europe;Politician;Government;Institutions;60;5041050;84018;27.814
Charles de Gaulle;Male;1890;Lille;France;Europe;Military Personnel;Military;Institutions;107;14688101;137272;278.011
Septimius Severus;Male;145;Leptis Magna;Libya;Africa;Politician;Government;Institutions;61;2978333;48825;278.008
Pliny the Elder;Male;23;Como;Italy;Europe;Philosopher;Philosophy;Humanities;61;4448919;72933;277.997
Peter I of Russia;Male;1672;Moscow;Russia;Europe;Politician;Government;Institutions;98;10556706;107721;277.934
Bob Dylan;Male;1941;Duluth;United States;North America;Musician;Music;Arts;88;33728144;383274;277.877
Antoninus Pius;Male;86;Lanuvium;Italy;Europe;Politician;Government;Institutions;63;2326411;36927;277.767
Arthur Schopenhauer;Male;1788;Gdańsk;Poland;Europe;Philosopher;Philosophy;Humanities;79;11622780;147124;27.776
Francisco Franco;Male;1892;Ferrol;Spain;Europe;Politician;Government;Institutions;82;16767124;204477;277.709
Charlie Chaplin;Male;1889;Walworth;United Kingdom;Europe;Actor;Film And Theatre;Arts;145;38615107;266311;277.704
Josephus;Male;37;Jerusalem;Israel;Asia;Historian;History;Humanities;55;3916394;71207;277.691
Hermann Hesse;Male;1877;Calw;Germany;Europe;Writer;Language;Humanities;83;9414681;113430;277.653
Caracalla;Male;188;Lugdunum;France;Europe;Politician;Government;Institutions;60;2926569;48776;277.607
Friedrich Engels;Male;1820;Wuppertal;Germany;Europe;Philosopher;Philosophy;Humanities;91;7678629;84381;277.439
Saint Andrew;Male;1;Bethsaida;Israel;Asia;Religious Figure;Religion;Institutions;68;2732393;40182;277.439
Rembrandt;Male;1606;Leiden;Netherlands;Europe;Painter;Fine Arts;Arts;125;20985901;167887;277.433
William Wallace;Male;1270;Elderslie;United Kingdom;Europe;Military Personnel;Military;Institutions;61;15650413;256564;277.419
